product_unit_id,name        ,description,uuid
1              ,AIGUILLE    ,           ,AIGUILLEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
2              ,AMPOULE     ,           ,AMPOULEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
3              ,BALLE       ,           ,BALLEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
4              ,BANDE       ,           ,BANDEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
5              ,BIDON       ,           ,BIDONUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
6              ,BOITE       ,           ,BOITEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
7              ,CAPSULE     ,           ,CAPSULEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
8              ,CARTON      ,           ,CARTONUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
9              ,CASSET      ,           ,CASSETUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
10             ,CASSETTE    ,           ,CASSETTEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
11             ,COMPRIME    ,           ,COMPRIMEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
12             ,CORPS       ,           ,CORPSUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
13             ,CRYOTUBE    ,           ,CRYOTUBEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
14             ,CUPS        ,           ,CUPSUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
15             ,CUPULE      ,           ,CUPULEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
16             ,CUVETTE     ,           ,CUVETTEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
17             ,EMBOUT      ,           ,EMBOUTUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
18             ,FIL         ,           ,FILUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
19             ,FL          ,           ,FLUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
20             ,FLACON      ,           ,FLACONUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
21             ,GELULE      ,           ,GELULEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
22             ,KIT         ,           ,KITUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
23             ,LANCETTE    ,           ,LANCETTEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
24             ,MICROTUBE   ,           ,MICROTUBEUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
25             ,OVULE       ,           ,OVULEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
26             ,PAIRE       ,           ,PAIREUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
27             ,PAQUET      ,           ,PAQUETUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
28             ,PASTILLE    ,           ,PASTILLEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
29             ,PIECE       ,           ,PIECEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
30             ,PLAQUETTE   ,           ,PLAQUETTEUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
31             ,POCHE       ,           ,POCHEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
32             ,POT         ,           ,POTUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
33             ,RACK        ,           ,RACKUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
34             ,ROUL        ,           ,ROULUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
35             ,ROULEAU     ,           ,ROULEAUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
36             ,SAC         ,           ,SACUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
37             ,SACHET      ,           ,SACHETUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
38             ,SEGMENT     ,           ,SEGMENTUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
39             ,SERINGUE    ,           ,SERINGUEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
40             ,SUPPOSITOIRE,           ,SUPPOSITOIREUUUUUUUUUUUUUUUUUUUUUUUUUU
41             ,TEST        ,           ,TESTUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
42             ,TUBE        ,           ,TUBEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
43             ,UNITE       ,           ,UNITEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
44             ,BOITE/500   ,           ,BOITE500UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
45             ,CP          ,           ,CPUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
46             ,MICROPIPETTE,           ,MICROPIPETTEUUUUUUUUUUUUUUUUUUUUUUUUUU
47             ,PAQUET/125  ,           ,PAQUET125UUUUUUUUUUUUUUUUUUUUUUUUUUUUU
48             ,PAQUET/500  ,           ,PAQUET500UUUUUUUUUUUUUUUUUUUUUUUUUUUUU
49             ,PIPETTE     ,           ,PIPETTEUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
